Application Number,,Type of tax credit funding,Project Name,Project Address,Project City,Project Zip Code,Project Phone Number,Project County,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Construction Type,Housing Type,Total Units,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Developer,Annual Federal Award,Total State Award,,,,,,
CA-2016-863,,4%,El Segundo Boulevard Apartments,"535 W. El Segundo Blvd., Los Angeles, CA 90044",Los Angeles,90044,,Los Angeles,64,35,43,2911.10,"6132-002-014, 15, 16, 19, and 22",Preliminary Reservation,,,New Construction,Special Needs,75,74,24,13,14,23,0,0,0,,22,0,0,19,18,0,0,,,"El Segundo Apartments, LP",Aaron Mandel,"1640 S. Sepulveda Blvd, Suite 425",Los Angeles,Ca,90025,3105753543,3105753563,"El Segundo Apartments, LLC","WCH Affordable XVI, LLC",,,,The John Stewart Company,Lori L. Horn,888 S Figueroa Street Suite 700,Los Angeles,CA,90017,2138331860,2138331866,Meta Housing Corporation,"$915,592",,,,,,,
CA-2016-876,,4%,Crescent Villages (Site A),"1721 W. 8th Street , Los Angeles, CA 90017",Los Angeles,90017,,Los Angeles,53,24,34,2094.03,"5142-014-038, 5142-014-043, 5142-014-047",Preliminary Reservation,,,Acquisition/Rehabilitation,Large Family,144,142,0,46,16,73,7,0,0,,0,13,46,0,65,0,18,,,"Crescent Villages II, L.P.",Peter Barker,"1101 E. Orangewood Ave., Suite 200",Anaheim,CA,92815,7145333450,7142215680,"CHAPA MGP, LLC","VH Crescent GP, LLC",,,,"Barker Management, Inc.",Peter Barker,1101 E. Orangewood Ave.,Anaheim,CA,92815,7145333450,,"Barker Management, Inc.","$1,082,023",,,,,,,
CA-2016-876,,,Crescent Villages (Site B),"1315 W. 7th Street, Los Angeles, CA 90017",Los Angeles,90017,,Los Angeles,,,,2091.02,5143-013-034,,,,Acquisition/Rehabilitation,Large Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-883,,4%,West Angeles Homes,"4080 South Vermont Ave., Los Angeles, CA 90037",Los Angeles,90037,,Los Angeles,59,30,37,2317.10,"5020-032-019, 5020-031-021",Preliminary Reservation,,,Acquisition/Rehabilitation,Large Family,44,43,0,0,19,24,0,0,0,,0,8,0,0,18,0,0,,,"West Angeles Homes II, LP",Peter Barker,1101 E. Orangewood Ave.,Anaheim,CA,92815,7145333450,,"West A Homes MGP, LLC","VHJS West A GP, LLC",,,,"Barker Management, Inc.",Peter Barker,1101 E. Orangewood Ave.,Anaheim,CA,92815,7145333450,,"Barker Management, Inc.","$308,457",,,,,,,
CA-2016-884,,4%,Mission Village,"4001 N Mission Road, Los Angeles, CA 90032",Los Angeles,90032,,Los Angeles,51,24,34,1991.10,5209-036-006,Preliminary Reservation,,,Acquisition/Rehabilitation,Large Family,84,83,0,34,6,43,0,0,0,,0,0,0,0,16,0,67,,,"Mission Village II, L.P.",Peter Barker,1101 E. Orangewood Ave.,Anaheim,CA,92815,7145333450,,"CHAPA MGP, LLC","VH Mission GP, LLC",,,,"Barker Management, Inc.",Peter Barker,1101 E. Orangewood Ave.,Anaheim,CA,92815,7145333450,,"Barker Management, Inc.","$772,969",,,,,,,
CA-2016-885,,4%,Watts Athens - (Site A),"2010 Chariton Street, Los Angeles, CA 90034",Los Angeles,90034,,Los Angeles,59,30,37,2696.01,4302-034-023,Preliminary Reservation,,,Acquisition/Rehabilitation,Non-Targeted,100,98,0,2,72,24,0,0,0,,0,0,0,0,57,0,41,,,"Watts Athens Village, LP",Peter Barker,1101 E. Orangewood Ave.,Anaheim,CA,92887,7145333450,,Community Advancement Development Corporation,"VH Watts Athens GP, LLC",,,,"Barker Management, Inc.",Peter Barker,1101 E. Orangewood Ave.,Anaheim,CA,92815,7145333450,,"Barker Management, Inc.","$726,158",,,,,,,
CA-2016-885,,,Watts Athens - (Site B),"5270 South Avalon Blvd, Los Angeles, CA 90011",Los Angeles,90011,,Los Angeles,,,,2294.20,"5103-005-037, 5103-005-017, 5103-005-038",,,,Acquisition/Rehabilitation,Non-Targeted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-885,,,Watts Athens - (Site C),"10202 South Broadway, Los Angeles, CA 90003",Los Angeles,90003,,Los Angeles,,,,2405.00,6053-028-009,,,,Acquisition/Rehabilitation,Non-Targeted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-885,,,Watts Athens - (Site C),"310 West 102nd Street, Los Angeles, CA 90003",Los Angeles,90003,,Los Angeles,,,,2405.00,"6013-022-033,6032-024-016, 6032-026-020, , 5103-055-039, 6053-029-011, 6053-029-002, 6053-029-003, 6053-029-004, 6053-029-005,  6053-028-010, 6053-028-011, 6074-004-030, 6074-004-002",,,,Acquisition/Rehabilitation,Non-Targeted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-885,,,Watts Athens - (Site C),"310 West 103rd Steet, Los Angeles, CA 90003",Los Angeles,90003,,Los Angeles,,,,2405.00,"6013-022-033,6032-024-016, 6032-026-020, , 5103-055-039, 6053-029-011, 6053-029-002, 6053-029-003, 6053-029-004, 6053-029-005,  6053-028-010, 6053-028-011, 6074-004-030, 6074-004-002",,,,Acquisition/Rehabilitation,Non-Targeted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-885,,,Watts Athens - (Site C),"1371 West Vernon Blvd, Los Angeles, CA 90037",Los Angeles,90037,,Los Angeles,,,,2316.00,5020-007-026,,,,Acquisition/Rehabilitation,Non-Targeted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-885,,,Watts Athens - (Site C),"503 West 70th Street, Los Angeles, CA 90044",Los Angeles,90044,,Los Angeles,,,,2376.00,"6013-022-033,6032-024-016, 6032-026-020, , 5103-055-039, 6053-029-011, 6053-029-002, 6053-029-003, 6053-029-004, 6053-029-005,  6053-028-010, 6053-028-011, 6074-004-030, 6074-004-002",,,,Acquisition/Rehabilitation,Non-Targeted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-885,,,Watts Athens - (Site C),"538 West 81st Street, Los Angeles, CA 90044",Los Angeles,90044,,Los Angeles,,,,2383.10, 6032-024-015,,,,Acquisition/Rehabilitation,Non-Targeted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-885,,,Watts Athens - (Site C),"623 West 92nd Street, Los Angeles, CA 90044",Los Angeles,90044,,Los Angeles,,,,2403.00,6039-015-031,,,,Acquisition/Rehabilitation,Non-Targeted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-899,,4%,Florence Morehouse - (Florence Avenue Villa Site A),"910 West Florence Avenue, Los Angeles, CA 90044",Los Angeles,90044,,Los Angeles,59,30,37,2377.10,6020001037,Preliminary Reservation,,,Acquisition/Rehabilitation,Large Family,61,59,0,7,29,21,2,0,0,,0,0,0,0,9,0,50,,,"Florence Morehouse, LP",Oscar Alvarado,1000 Corporate Pointe,Culver City,CA,90230,3106422079,3106422083,CADI VII LLC,,,,,John Stewart Companies,Lori Horn,"888 South Figueroa Street, Suite 700",Los Angeles,CA,90017,2138331860,2138331866,"Century Affordable Development, Inc.","$474,823",,,,,,,
CA-2016-899,,,Florence Morehouse - (Morehouse Apartments Site B),"1750 Martin Luther King Blvd, Los Angeles, CA 90062",Los Angeles,90062,,Los Angeles,,,,2315.00,5021032032,,,,Acquisition/Rehabilitation,Large Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-907,,4%,Jordan Downs Phase 1A,"9901 S. Alameda Street, Los Angeles, CA 90002",Los Angeles,90002,,Los Angeles,64,35,44,5354.00,6046-019-905,Preliminary Reservation,,,New Construction,Large Family,115,113,0,13,49,27,9,1,0,,0,0,0,0,99,0,0,,,Entity TO BE FORMED,Anna Slaby,"20321 Irvine Avenue, Suite F-1",Newport Beach,CA,92660,9492297076,9492747688,"To Be Formed, LLC",,,,,BRIDGE Property Management Company,Susan Johnson,"600 California Street, Suite 900",San Francisco,CA,94108,4153213542,,BRIDGE Housing Corporation,"$2,022,117",,,,,,,
CA-2016-924,,4%,Watts Arms I Apartments,"10130 South Beach Street, Los Angeles, CA 90002",Los Angeles,90002,,Los Angeles,64,35,44,2422.00,604802804915000,Preliminary Reservation,,,Acquisition/Rehabilitation,Non-Targeted,104,103,0,18,49,36,0,0,0,,0,0,0,0,16,0,87,,,Watts Arms I Renewal L.P.,Wes Gassert,"11200 Rockville Pike, Suite 250",Rockville,MD,20852,3019980417,3019980418,"Redwood Housing, Inc.",Foundation Housing Capital III,,,,"Barker Management, Incorporated",Peter Barker,1101 E. Orangewood Avenue,Anaheim,CA,92805,7145333450,7145338608,National Foundation for Affordable Housing Solutions,"$1,149,439",,,,,,,
CA-2016-928,,4%,Casa Carmen,"1800 W. 11th St., Los Angeles, CA 90006",Los Angeles,90006,,Los Angeles,53,22,34,2098.20,"5136-020-024, 025, 026",Preliminary Reservation,,,New Construction,Special Needs,25,24,0,24,0,0,0,0,0,,24,0,0,0,0,0,0,,,1010 Development Corporation,Robert Buente,1001 S. Hope St.,Los Angeles,CA,90015,2137494495,2137493098,"VH Casa Carmen GP, LLC","1010/Casa Carmen, LLC",,,,Barker Management Inc.,Peter Barker,"1101 E. Orangewood Ave., #200",Anaheim,CA,92815,7145333450,7145338608,1010 Development Corporation,"$392,025","$1,205,482",,,,,,
CA-2016-931,,4%,Princess Apartments - (Site A),"722 N. Van Ness Avenue, Los Angeles, CA 90038",Los Angeles,90038,,Los Angeles,53,24,,1917.10,"See Exhibit ""A"" for APN numbers as well as for Fed",Preliminary Reservation,,,Acquisition/Rehabilitation,At-Risk,58,56,43,14,0,0,0,0,0,,0,0,0,0,16,0,41,,,"Princess Affordable Apartments, LP",Marco Gomez,3553 Atlantic Avenue #250,Long Beach,CA,90807,2139243217,5626830414,"IAHI-Princess, LLC",,,,,"American Real Property Management, Inc.",Lawrence T. Wahl,3255 Wilshire Blvd. Suite 1802,Los Angeles,CA,90010,2132525997,2132525298,"Intercontinental Affordable Housing, Inc.","$497,551",,,,,,,
CA-2016-931,,,Princess Apartments - (Site B),"1648 N. Kingsley Drive, Los Angeles, CA 90027",Los Angeles,90027,,Los Angeles,43,26,,1905.20,,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-931,,,Princess Apartments - (Site C),"6116 Eleanor Avenue, Los Angeles, CA 90038",Los Angeles,90038,,Los Angeles,50,30,,1918.10,,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-931,,,Princess Apartments - (Site D),"4335 Woodlawn Avenue, Los Angeles, CA 90011",Los Angeles,90011,,Los Angeles,59,30,,2284.20,,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-932,,4%,Columbia Apartments - (Site A),"415 E. Adams Boulevard, Los Angeles, CA 90011",Los Angeles,90011,,Los Angeles,,,,2264.10,"See Exhibit ""A"" for APN numbers as well as for Fed",Preliminary Reservation,,,Acquisition/Rehabilitation,At-Risk,127,122,77,36,9,0,0,0,0,,0,0,0,0,42,0,80,,,"Columbia Associates II, LP",Marco Gomez,"3553 Atlantic Avenue, Suite 250",Long Beach,CA,90807,2139243217,5626830414,"IAHI-CA, LLC",,,,,"American Real Property Mgmt, Inc.",Lawrence Wahl,"3255 Wilshire Blvd., Suite 1802",Los Angeles,CA,90010,2132525997,2132525298,"Intercontinental Affordable Housing, Inc.","$1,117,573",,,,,,,
CA-2016-932,,,Columbia Apartments - (Site B),"1034 S. Catalina Avenue, Los Angeles, CA 90006",Los Angeles,90006,,Los Angeles,,,,2133.20,,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-932,,,Columbia Apartments - (Site C),"1043 S. Kingsley Drive, Los Angeles, CA 90006",Los Angeles,90006,,Los Angeles,,,,2132.01,,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-932,,,Columbia Apartments - (Site D),"1137 S. Bronson Avenue, Los Angeles, CA 90019",Los Angeles,90019,,Los Angeles,,,,2129.00,,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-932,,,Columbia Apartments - (Site E),"1522 W. 11th Place, Los Angeles, CA 90015",Los Angeles,90015,,Los Angeles,,,,2100.10,,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-933,,4%,Boyle Apartments & Jewel Terrace Apartments - (Site A),"427 S. Boyle Ave, Los Angeles, CA 90033",Los Angeles,90033,,Los Angeles,30,59,37,2060.50,5174-002-016,Preliminary Reservation,,,Acquisition/Rehabilitation,At-Risk,67,66,4,44,18,0,0,0,0,,0,0,0,0,13,0,53,,,"Boyle Terrace Affordable Apartments, LP",Marco Gomez,"3553 Atlantic Avenue, Suite 250",Long Beach,CA,90807,2139243217,5626830414,"IAHI-Terrace, LLC",,,,,"American Real Property Mgmt, Inc.",Lawrence Wahl,"3255 Wilshire Blvd., Suite 1802",Los Angeles,CA,90010,2132525997,2132525298,"Intercontinental Affordable Housing, Inc.","$553,696",,,,,,,
CA-2016-933,,,Boyle Apartments & Jewel Terrace Apartments - (Site B),"1420 W. 27th St, Los Angeles, CA 90007",Los Angeles,90007,,Los Angeles,,,,2218.10,5054-032-003,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-933,,,Boyle Apartments & Jewel Terrace Apartments - (Site C),"1460 W. 27th St, Los Angeles, CA 90007",Los Angeles,90007,,Los Angeles,,,,2218.10,5054-032-011,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-933,,,Boyle Apartments & Jewel Terrace Apartments - (Site D),"2950 Van Buren Place, Los Angeles, CA 90007",Los Angeles,90007,,Los Angeles,,,,2221.00,5054-014-022,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-934,,4%,Premier Apartments - (Site A),"961 West 43rd Street, Los Angeles, CA 90037",Los Angeles,90037,,Los Angeles,,,,2317.00,5020-035-032,Preliminary Reservation,,,Acquisition/Rehabilitation,At-Risk,120,116,5,60,51,0,0,0,0,,0,0,0,0,13,0,103,,,"Premier Associates II, LP",Marco Gomez,3553 Atlantic Avenue #250,Long Beach,CA,90807,2139243217,5626830414,"IAHI-PR, LLC",,,,,"American Real Property Management, Inc.",Lawrence T. Wahl,3255 Wilshire Blvd. Suite 1802,Los Angeles,CA,90010,2132525997,2132525298,"Intercontinental Affordable Housing, Inc.","$910,997",,,,,,,
CA-2016-934,,,Premier Apartments - (Site B),"1208 East 59th Street, Los Angeles, CA 90001",Los Angeles,90001,,Los Angeles,,,,5328.00,"6008-008-010, 6008-008-030, 6003-010-032",,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-934,,,Premier Apartments - (Site C),"581 West 92nd Street, Los Angeles, CA 90044",Los Angeles,90044,,Los Angeles,,,,2403.00,6039-016-015,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-934,,,Premier Apartments - (Site D),"368 East Imperial Highway, Los Angeles, CA 90061",Los Angeles,90061,,Los Angeles,,,,2410.01,6083-005-036,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-934,,,Premier Apartments - (Site E),"833 East Imperial Highway, Los Angeles, CA 90059",Los Angeles,90059,,Los Angeles,,,,2409.00,6072-013-022,,,,Acquisition/Rehabilitation,At-Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-2016-941,,4%,Rolland Curtis West,"1077 W 38th Street, Los Angeles, CA 90037",Los Angeles,90037,,Los Angeles,59,30,37,2312.20,5037-015-030,Preliminary Reservation,,,New Construction,Large Family,70,69,0,7,38,24,0,0,0,,18,9,0,0,21,0,21,,,"Rolland Curtis West, L.P.",Lara Regus,"1149 S Hill St., Suite 700",Los Angeles,CA,90015,2132252812,2132252709,"Rolland Curtis West, LLC",,,,,Abode Communities,Luz Soto,"1149 S. Hill Street, Suite 700",Los Angeles,CA,90015,2136292702,2136276407,Abode Communities,"$1,072,019",,,,,,,
CA-2016-958,,4%,New Park Place,"2500 W 4th Street, Los Angeles, CA 90057",Los Angeles,90057,,Los Angeles,53,24,34,2088.02,5155-031-031,Preliminary Reservation,,,Acquisition/Rehabilitation,Large Family,49,48,0,0,14,34,0,0,0,,0,0,0,0,24,0,24,,,"New Park Place, L.P.",Karl Lauff,"1149 S Hill St., Suite 700",Los Angeles,CA,90015,2132252808,2132252709,"Park Place Terrace Repurchase, LLC",,,,,Abode Communities,Luz Soto,"1149 S Hill St., Suite 700",Los Angeles,CA,90015,2136292702,2136276407,Abode Communities,"$353,325",,,,,,,
CA-2016-961,,4%,Temple View Apartments,"3200 W. Temple Street, Los Angeles, CA 90026",Los Angeles,90026,,Los Angeles,24,51,34,2086.10,515-6006-003 & 515-6006-002,Preliminary Reservation,,,New Construction,Non-Targeted,59,58,15,2,41,0,0,0,0,,0,0,0,0,6,0,52,,,"Temple View, LP",Rick Ursitti,"466 Foothill Blvd., Suite 145",LaCanada,CA,91011,2139495448,2139495448,"Ursitti Temple, Inc.",Search to Involve Pilipino Americans,,,,Genessy Management and Development LLC,Genny R. Alberts,"334 N. Normandie Ave., Suite 104",Los Angeles,CA,90004,3239132905,8778695775,"Ursitti Partners, LLC","$540,511",,,,,,,
CA-2016-967,,4%,Dudley Oaks,"2119 Oak St., Los Angeles, CA 90007",Los Angeles,90007,,Los Angeles,59,30,37,2244.10,5124-013-020,Preliminary Reservation,,,Acquisition/Rehabilitation,At-Risk,20,19,0,5,14,0,0,0,0,,0,0,0,0,18,0,1,,,Dudley Oaks Apartments LP,Anthony Yannatta,"11812 San Vicente Blvd., Ste. 600",Los Angeles,CA,90049,3108204888,3102076986,Housing Corporation of America,Dudley Oaks Apartments LLC,,,,"Thomas Safran & Associates, Inc.",Jordan Pynes,"11812 San Vicente Blvd., Ste. 600",Los Angeles,CA,90049,3108204888,3102076986,"Thomas Safran & Associates Development, Inc.","$361,037",,,,,,,
CA-2016-974,,4%,Vista Tower,"3000 Leeward Avenue, Los Angeles, CA 90005",Los Angeles,90005,,Los Angeles,24,53,34,2122.03,5077-018-011,Preliminary Reservation,,,Acquisition/Rehabilitation,Non-Targeted,230,228,168,60,0,0,0,0,0,,0,0,0,0,24,0,204,,,"Vista Tower, L.P.",Joseph Miller,"3204 Rosemead Blvd., Suite 100",El Monte,CA,91731,6263002448,6264588941,"Vista Tower Apartments, LLC",,,,,CARING Housing Ministries,Nancy Spring,"3204 Rosemead Blvd., Suite 100",El Monte,CA,91731,6263002440,6264588941,Stegasi Group,"$1,534,690",,,,,,,
CA-2016-975,,4%,Gilbert Lindsay,"601 W. 40th Place, Los Angeles, CA 90037",Los Angeles,90037,,Los Angeles,59,30,37,2317.20,"5019-025-027, 5019-025-028, 5019-025-041, 5019-025",Preliminary Reservation,,,Acquisition/Rehabilitation,Large Family,137,117,0,20,68,26,2,1,0,,0,0,0,0,41,0,76,,,Gilbert Lindsay Housing LP,Anthony Yannatta,"11812 San Vicente Blvd., Ste. 600",Los Angeles,CA,90049,3108204888,3102076986,Gilbert Lindsay Housing LLC,Housing Corporation of America,,,,"Thomas Safran & Associates, Inc.","Jordan Pynes, CA 90049","11812 San Vicente Blvd., Ste. 600",Los Angeles,CA,90049,3108204888,3102076986,"Thomas Safran & Associates Development, Inc.","$1,111,811",,,,,,,
CA-2016-990,,4%,Swansea Park Senior Apartments Phase 2,"5151 W. Romaine Street, Los Angeles, CA 90029",Los Angeles,90029,,Los Angeles,43,24,28,1916.20,5537-020-039,Preliminary Reservation,,,New Construction,Seniors,76,75,0,64,10,1,0,0,0,,9,23,18,0,25,0,0,,,"APEC International, LLC",Eugene Kim,"770 S. Irolo Street, Suite 1000",Los Angeles,CA,90005,2137387389,2133843847,"APEC International, LLC",Deep Green Housing and Community Development,Swansea Development Corporation,,,FPI Management,Maureen Picarella,800 Iron Point Road,Folsom,CA,95630,9163575300,9163587228,Deep Green Housing and Community Development,"$860,070",,,,,,,
CA-2017-023,,9%,7th & Witmer Apartments,"1301 W. 7th Street, Los Angeles, CA 90017",Los Angeles,90017,,Los Angeles,53,24,34,2091.02,5143-013-022,Preliminary Reservation,,,New Construction,Special Needs,76,75,28,48,0,0,0,0,0,,50,0,16,0,9,0,0,,,"7th & Witmer, LP",Zoe Ellas,"400 W. 9th Street, Suite 100",Los Angeles,CA,90015,2132512111,2136885031,Deep Green Housing and Community Development,Brook Financial Corporation,,,,"Solari Enterprises, Inc.",Gianna Solari Richards,1507 W. Yale Street,Orange,CA,92867,7142822520,7142822517,Deep Green Housing and Community Development,"$1,964,119",,,,,,,
CA-2017-025,,9%,"New Direction West Adams (Formerly, South West View)","3015 South West View Street, Los Angeles, CA 90016",Los Angeles,90016,,Los Angeles,62,30,37,2197.00,"5049-034-009, 010, 011, 015",Preliminary Reservation,,,New Construction,Special Needs,64,63,0,51,13,0,0,0,0,,17,0,10,0,19,0,17,,,"Vista del Monte Affordable Housing, Inc.",Alfredo Izmajtovich,"316 West Second Street, Suite 600",Los Angeles,CA,90012,2133620260,2133620265,New Directions West Adams LLC,PC Los Angeles South West View LLC,,,,"ConAm Management Company, Inc.",Steven Dow,"3990 Ruffin Road, Suite 100",San Diego,CA,92123,6195412820,8586341368,Cesar Chavez Foundation,"$2,376,620",,,,,,,
CA-2017-030,,9%,6218 Compton Avenue,"6218 Compton Avenue, Los Angeles, CA 90001",Los Angeles,90001,,Los Angeles,59,33,40,5330.01,"6008-040-025 (formerly 6008-040-004, 005, 006)",Preliminary Reservation,,,New Construction,Special Needs,30,29,0,29,1,0,0,0,0,,29,0,0,0,0,0,0,,,"LINC-Compton Ave APTS, LP",Will Sager,"555 E. Ocean Boulevard, Suite 900",Long Beach,CA,90802,5626841127,5626841137,"LINC-Compton Ave APTS, LLC",Not applicable,Not applicable,,,The John Stewart Company,Lori Horn,"888 S. Figueroa St., #700",Los Angeles,CA,90017,2138331860,2138331866,LINC CDC,"$951,131",,,,,,,
CA-2017-044,,9%,PICO ROBERTSON SENIOR COMMUNITY,"8866 W. Pico Blvd, Los Angeles, CA 90035",Los Angeles,90035,,Los Angeles,50,30,37,4328.02,"4305-014-900, 4305-014-901, 4305-014-902",Preliminary Reservation,,,New Construction,Seniors,48,47,3,44,1,0,0,0,0,,12,0,0,5,19,0,11,,,MERCY HOUSING CALIFORNIA,Erika Villablanca,"1500 S Grand Ave, Suite 100",Los Angeles,CA,90015,2137435826,2137435828,MERCY HOUSING CALWEST,,,,,Mercy Housing Management Group,Jacquie Hoffman,"1360 Mission, 3rd Floor",San Francisco,CA,94103,4153557124,4153557101,Mercy Housing California,"$1,736,616",,,,,,,
CA-2017-073,,9%,Metro @ Western,"3651 S. Western Avenue, Los Angeles, CA 90018",Los Angeles,90018,,Los Angeles,54,30,37,2220.02,"APN: 5041-023-022, 5041-023-023, 5041-023-024, 504",Preliminary Reservation,,,New Construction,Special Needs,33,32,0,16,9,8,0,0,0,,20,0,0,0,7,0,5,,,"MAW, L.P.",Tim Soule,"1640 S Sepulveda Blvd, Ste 425",Los Angeles,CA,90025,3105753543,3105753563,"WCH Affordable XVII, LLC","MAW, LLC",,,,JSCO,Lori Horn,888 S Figueroa Street Ste 700,Los Angeles,CA,90017,2137872710,2138331866,Meta Housing Corporation,"$1,428,110","$3,433,298",,,,,,
CA-2017-086,,9%,Westmore Linden,"1250 S. Westmoreland Ave., Los Angeles, CA 90006",Los Angeles,90006,,Los Angeles,53,24,34,2134.02,5076-018-023,Preliminary Reservation,,,New Construction,Seniors,93,92,13,79,1,0,0,0,0,,15,0,14,0,46,0,17,,,"Westmore Linden, L.P.",Ben Creed,7530 Santa Monica Blvd.,West Hollywood,CA,90046,3236508771,,"FFAH V Arc Village, LLC","Allied Arc Village, LLC",,,,"Barker Management, Inc.",Maria Sanchez,1101 E. Orangewood Ave.,Anaheim,CA,92815,7145333450,,West Hollywood Community Housing Corporation,"$2,064,980","$6,883,267",,,,,,
CA-2017-117,,9%,88th & Vermont,"8740 S Vermont Ave., Los Angeles, CA 90044",Los Angeles,90044,,Los Angeles,64,30,43,2403.00,"6038-010-026, 6038-010-027, 6038-010-902, 6038-010",Preliminary Reservation,,,New Construction,Special Needs,62,60,12,20,24,6,0,0,0,,46,0,14,0,0,0,0,,,WORKS / Community Build,Channa Grace,795 N Avenue 50,Los Angeles,CA,90042,3233417028,,National Community Renaissance of California,N/A,,,,"Solari Enterprises, Inc.",Gianna Solari,1507 W Yale Ave.,Orange,CA,92867,7142822520,,WORKS,"$1,682,610",,,,,,,
CA-2017-120,,9%,Casa Paredes,"501 N Soto Street, Los Angeles, CA 90033",Los Angeles,90033,,Los Angeles,53,24,34,2036.00,5175-009-029,Preliminary Reservation,,,Acquisition/Rehabilitation,At-Risk,10,10,0,0,10,0,0,0,0,,1,1,1,0,3,0,4,,,"Casa Paredes Housing Partners, L.P.",Keith Stanley,"2030 Main Street, Suite 1300",Irvine,CA,92614,9492604998,,"Innovative Housing Opportunities, Inc.","Kingdom AH I, LLC",,,,"Solari Enterprises, Inc.",Bruce Solari,1507 W. Yale Avenue,Orange,CA,92867,7142822520,,"Horizon Development Consulting, LLC","$258,127",,,,,,,
